control_result_id,control_id,control_name,domain,evaluated_at,status,severity,evidence_id,request_id,run_id,evaluation_message,rule_version
CR_000156,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-15T17:37:41,PASS,NONE,EVD_000221,,,Control satisfied with available evidence.,v1.0
CR_000157,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-04T02:20:43,PASS,NONE,EVD_000120,,,Control satisfied with available evidence.,v1.0
CR_000158,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-05T10:10:11,PASS,NONE,EVD_000157,,RUN_000034,Control satisfied with available evidence.,v1.0
CR_000159,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-15T10:22:42,PASS,NONE,EVD_000083,ARQ_00046,,Control satisfied with available evidence.,v1.0
CR_000160,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-09T09:17:30,FAIL,HIGH,EVD_000327,,,Control violation detected; review linked evidence.,v1.0
CR_000161,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-09T02:33:50,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000162,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-11T14:14:27,PASS,NONE,EVD_000119,,,Control satisfied with available evidence.,v1.0
CR_000163,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-09T03:51:36,PASS,NONE,EVD_000427,,RUN_000065,Control satisfied with available evidence.,v1.0
CR_000164,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-15T02:06:23,PASS,NONE,EVD_000508,,,Control satisfied with available evidence.,v1.0
CR_000165,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-06T23:48:35,PASS,NONE,EVD_000566,,RUN_000045,Control satisfied with available evidence.,v1.0
CR_000166,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-15T16:34:53,FAIL,HIGH,EVD_000428,,,Control violation detected; review linked evidence.,v1.0
CR_000167,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-07T05:03:43,FAIL,HIGH,EVD_000523,,,Control violation detected; review linked evidence.,v1.0
CR_000168,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-05T17:07:35,PASS,NONE,EVD_000368,,RUN_000044,Control satisfied with available evidence.,v1.0
CR_000169,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-08T15:32:47,PASS,NONE,EVD_000485,,RUN_000035,Control satisfied with available evidence.,v1.0
CR_000170,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-12T06:23:40,PASS,NONE,EVD_000066,,,Control satisfied with available evidence.,v1.0
CR_000171,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-03T07:20:54,FAIL,MEDIUM,EVD_000211,ARQ_00020,,Control violation detected; review linked evidence.,v1.0
CR_000172,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-05T11:14:45,PASS,NONE,EVD_000267,,,Control satisfied with available evidence.,v1.0
CR_000173,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-10T04:24:50,PASS,NONE,EVD_000438,,RUN_000036,Control satisfied with available evidence.,v1.0
CR_000174,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-05T03:57:14,PASS,NONE,EVD_000443,,,Control satisfied with available evidence.,v1.0
CR_000175,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-08T16:36:41,FAIL,CRITICAL,EVD_000576,,,Control violation detected; review linked evidence.,v1.0
CR_000176,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-10T21:30:55,PASS,NONE,EVD_000561,,RUN_000093,Control satisfied with available evidence.,v1.0
CR_000177,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-04T05:22:59,PASS,NONE,EVD_000403,,,Control satisfied with available evidence.,v1.0
CR_000178,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-04T19:29:28,PASS,NONE,EVD_000051,ARQ_00063,,Control satisfied with available evidence.,v1.0
CR_000179,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T03:55:18,FAIL,HIGH,EVD_000166,,RUN_000097,Control violation detected; review linked evidence.,v1.0
CR_000180,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-14T06:51:24,PASS,NONE,EVD_000442,,,Control satisfied with available evidence.,v1.0
CR_000181,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-08T09:55:20,FAIL,HIGH,EVD_000095,,,Control violation detected; review linked evidence.,v1.0
CR_000182,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-03T13:56:54,PASS,NONE,EVD_000482,,,Control satisfied with available evidence.,v1.0
CR_000183,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-06T03:41:55,PASS,NONE,EVD_000086,,,Control satisfied with available evidence.,v1.0
CR_000184,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-07T16:41:33,PASS,NONE,EVD_000157,,,Control satisfied with available evidence.,v1.0
CR_000185,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-10T02:42:08,NOT_EVALUATED,UNKNOWN,,,RUN_000040,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000186,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-01T22:12:40,PASS,NONE,EVD_000578,ARQ_00012,,Control satisfied with available evidence.,v1.0
CR_000187,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T14:10:37,PASS,NONE,EVD_000245,,RUN_000011,Control satisfied with available evidence.,v1.0
CR_000188,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-10T14:45:18,PASS,NONE,EVD_000486,,,Control satisfied with available evidence.,v1.0
CR_000189,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-12T08:40:35,PASS,NONE,EVD_000590,,,Control satisfied with available evidence.,v1.0
CR_000190,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-12T06:05:28,PASS,NONE,EVD_000347,ARQ_00074,,Control satisfied with available evidence.,v1.0
CR_000191,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-10T16:25:47,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000192,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T07:39:20,FAIL,HIGH,EVD_000286,,RUN_000118,Control violation detected; review linked evidence.,v1.0
CR_000193,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-04T00:20:25,FAIL,MEDIUM,EVD_000160,,RUN_000118,Control violation detected; review linked evidence.,v1.0
CR_000194,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-09T03:17:36,PASS,NONE,EVD_000015,,,Control satisfied with available evidence.,v1.0
CR_000195,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-11T06:54:41,PASS,NONE,EVD_000417,,RUN_000021,Control satisfied with available evidence.,v1.0
CR_000196,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-08T15:06:26,FAIL,HIGH,EVD_000571,,,Control violation detected; review linked evidence.,v1.0
CR_000197,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-09T15:48:05,FAIL,HIGH,EVD_000085,,RUN_000104,Control violation detected; review linked evidence.,v1.0
CR_000198,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-09T06:39:08,PASS,NONE,EVD_000265,,RUN_000075,Control satisfied with available evidence.,v1.0
CR_000199,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-03T07:18:03,NOT_EVALUATED,UNKNOWN,,,RUN_000004,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000200,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-03T05:04:43,PASS,NONE,EVD_000083,,RUN_000107,Control satisfied with available evidence.,v1.0
CR_000201,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T06:37:14,PASS,NONE,EVD_000155,,RUN_000007,Control satisfied with available evidence.,v1.0
CR_000202,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-02T07:49:46,NOT_EVALUATED,UNKNOWN,,ARQ_00054,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000203,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-04T07:22:35,PASS,NONE,EVD_000361,,RUN_000047,Control satisfied with available evidence.,v1.0
CR_000204,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-03T20:02:42,PASS,NONE,EVD_000454,ARQ_00025,,Control satisfied with available evidence.,v1.0
CR_000205,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-06T18:47:35,PASS,NONE,EVD_000502,ARQ_00006,,Control satisfied with available evidence.,v1.0
CR_000206,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-06T12:08:38,PASS,NONE,EVD_000448,ARQ_00037,,Control satisfied with available evidence.,v1.0
CR_000207,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-06T11:19:22,PASS,NONE,EVD_000474,ARQ_00035,,Control satisfied with available evidence.,v1.0
CR_000208,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T03:48:52,NOT_EVALUATED,UNKNOWN,,,RUN_000075,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000209,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T21:53:08,PASS,NONE,EVD_000156,,RUN_000070,Control satisfied with available evidence.,v1.0
CR_000210,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-12T19:37:10,PASS,NONE,EVD_000369,,,Control satisfied with available evidence.,v1.0
CR_000211,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-04T23:37:30,PASS,NONE,EVD_000051,,,Control satisfied with available evidence.,v1.0
CR_000212,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-02T22:09:29,PASS,NONE,EVD_000492,,,Control satisfied with available evidence.,v1.0
CR_000213,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-12T23:56:27,FAIL,HIGH,EVD_000112,,,Control violation detected; review linked evidence.,v1.0
CR_000214,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-09T21:21:09,PASS,NONE,EVD_000375,,,Control satisfied with available evidence.,v1.0
CR_000215,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-15T05:34:14,PASS,NONE,EVD_000344,,RUN_000023,Control satisfied with available evidence.,v1.0
CR_000216,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-05T22:55:33,PASS,NONE,EVD_000441,,RUN_000115,Control satisfied with available evidence.,v1.0
CR_000217,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-03T18:19:20,NOT_EVALUATED,UNKNOWN,,,RUN_000058,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000218,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-14T06:24:51,PASS,NONE,EVD_000112,,,Control satisfied with available evidence.,v1.0
CR_000219,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-15T00:42:06,PASS,NONE,EVD_000526,,,Control satisfied with available evidence.,v1.0
CR_000220,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-06T03:46:42,NOT_EVALUATED,UNKNOWN,,,RUN_000036,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000221,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-04T09:59:32,NOT_EVALUATED,UNKNOWN,,ARQ_00051,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000222,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-05T02:43:50,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000223,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-15T07:49:08,PASS,NONE,EVD_000310,,,Control satisfied with available evidence.,v1.0
CR_000224,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-04T06:04:35,PASS,NONE,EVD_000085,,,Control satisfied with available evidence.,v1.0
CR_000225,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-14T22:13:12,PASS,NONE,EVD_000486,,,Control satisfied with available evidence.,v1.0
CR_000226,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-15T08:01:14,PASS,NONE,EVD_000136,,RUN_000005,Control satisfied with available evidence.,v1.0
CR_000227,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-05T09:16:09,FAIL,MEDIUM,EVD_000473,,,Control violation detected; review linked evidence.,v1.0
CR_000228,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-10T12:53:59,FAIL,CRITICAL,EVD_000351,,,Control violation detected; review linked evidence.,v1.0
CR_000229,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-04T10:15:02,NOT_EVALUATED,UNKNOWN,,ARQ_00040,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000230,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-13T21:28:29,PASS,NONE,EVD_000191,,,Control satisfied with available evidence.,v1.0
CR_000231,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-13T04:38:54,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000232,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-14T16:21:00,NOT_EVALUATED,UNKNOWN,,,RUN_000082,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000233,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-06T17:45:32,FAIL,MEDIUM,EVD_000384,ARQ_00066,,Control violation detected; review linked evidence.,v1.0
CR_000234,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-13T07:10:47,PASS,NONE,EVD_000147,,,Control satisfied with available evidence.,v1.0
CR_000235,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-04T21:02:54,PASS,NONE,EVD_000481,ARQ_00045,,Control satisfied with available evidence.,v1.0
CR_000236,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-01T23:07:55,PASS,NONE,EVD_000452,,,Control satisfied with available evidence.,v1.0
CR_000237,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-04T07:32:14,NOT_EVALUATED,UNKNOWN,,,RUN_000028,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000238,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-14T19:33:49,PASS,NONE,EVD_000539,,,Control satisfied with available evidence.,v1.0
CR_000239,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-08T20:46:24,PASS,NONE,EVD_000230,,,Control satisfied with available evidence.,v1.0
CR_000240,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T21:46:04,NOT_EVALUATED,UNKNOWN,,,RUN_000025,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000241,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-06T10:16:11,PASS,NONE,EVD_000585,,,Control satisfied with available evidence.,v1.0
CR_000242,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-08T20:37:35,PASS,NONE,EVD_000188,,,Control satisfied with available evidence.,v1.0
CR_000243,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T01:06:26,FAIL,HIGH,EVD_000091,,RUN_000015,Control violation detected; review linked evidence.,v1.0
CR_000244,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-05T07:17:30,PASS,NONE,EVD_000118,,RUN_000088,Control satisfied with available evidence.,v1.0
CR_000245,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-14T18:31:17,PASS,NONE,EVD_000302,,,Control satisfied with available evidence.,v1.0
CR_000246,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-05T23:57:26,PASS,NONE,EVD_000339,,,Control satisfied with available evidence.,v1.0
CR_000247,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-04T21:55:53,PASS,NONE,EVD_000016,,RUN_000055,Control satisfied with available evidence.,v1.0
CR_000248,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-11T14:06:04,FAIL,CRITICAL,EVD_000247,,,Control violation detected; review linked evidence.,v1.0
CR_000249,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-05T05:48:49,FAIL,HIGH,EVD_000580,,,Control violation detected; review linked evidence.,v1.0
CR_000250,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-12T18:10:09,PASS,NONE,EVD_000562,,RUN_000110,Control satisfied with available evidence.,v1.0
CR_000251,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-04T22:06:56,PASS,NONE,EVD_000368,ARQ_00078,,Control satisfied with available evidence.,v1.0
CR_000252,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-06T00:59:09,NOT_EVALUATED,UNKNOWN,,,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000253,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-11T20:50:02,FAIL,HIGH,EVD_000451,ARQ_00045,,Control violation detected; review linked evidence.,v1.0
CR_000254,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-04T05:32:16,PASS,NONE,EVD_000346,,RUN_000010,Control satisfied with available evidence.,v1.0
CR_000255,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-02T02:23:05,NOT_EVALUATED,UNKNOWN,,ARQ_00049,,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000256,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-12T16:34:48,PASS,NONE,EVD_000023,ARQ_00002,,Control satisfied with available evidence.,v1.0
CR_000257,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-12T06:30:32,PASS,NONE,EVD_000524,,,Control satisfied with available evidence.,v1.0
CR_000258,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-12T21:21:51,PASS,NONE,EVD_000474,,,Control satisfied with available evidence.,v1.0
CR_000259,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-08T23:14:28,PASS,NONE,EVD_000460,,,Control satisfied with available evidence.,v1.0
CR_000260,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-02T12:06:16,PASS,NONE,EVD_000307,,,Control satisfied with available evidence.,v1.0
CR_000261,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-09T16:03:34,PASS,NONE,EVD_000116,,,Control satisfied with available evidence.,v1.0
CR_000262,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-01T21:35:38,FAIL,HIGH,EVD_000573,ARQ_00062,,Control violation detected; review linked evidence.,v1.0
CR_000263,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-12T10:57:13,FAIL,CRITICAL,EVD_000553,,,Control violation detected; review linked evidence.,v1.0
CR_000264,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-08T21:00:36,FAIL,MEDIUM,EVD_000314,,RUN_000035,Control violation detected; review linked evidence.,v1.0
CR_000265,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-04T20:56:02,PASS,NONE,EVD_000574,,RUN_000022,Control satisfied with available evidence.,v1.0
CR_000266,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-11T09:38:48,PASS,NONE,EVD_000571,,,Control satisfied with available evidence.,v1.0
CR_000267,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-07T23:19:36,PASS,NONE,EVD_000132,,,Control satisfied with available evidence.,v1.0
CR_000268,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-14T08:14:40,FAIL,HIGH,EVD_000140,,,Control violation detected; review linked evidence.,v1.0
CR_000269,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-09T23:17:40,PASS,NONE,EVD_000085,,RUN_000035,Control satisfied with available evidence.,v1.0
CR_000270,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-11T16:53:58,PASS,NONE,EVD_000265,,,Control satisfied with available evidence.,v1.0
CR_000271,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-06T01:18:53,PASS,NONE,EVD_000244,,,Control satisfied with available evidence.,v1.0
CR_000272,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-14T05:53:03,FAIL,CRITICAL,EVD_000379,,,Control violation detected; review linked evidence.,v1.0
CR_000273,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-05T00:37:11,PASS,NONE,EVD_000144,ARQ_00045,,Control satisfied with available evidence.,v1.0
CR_000274,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-07T07:39:34,PASS,NONE,EVD_000590,,,Control satisfied with available evidence.,v1.0
CR_000275,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-09T04:54:24,PASS,NONE,EVD_000431,,,Control satisfied with available evidence.,v1.0
CR_000276,AC-002,Requester must not self-approve,ACCESS_CONTROL,2026-01-06T06:21:44,PASS,NONE,EVD_000075,,,Control satisfied with available evidence.,v1.0
CR_000277,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-08T12:37:23,PASS,NONE,EVD_000501,,,Control satisfied with available evidence.,v1.0
CR_000278,AC-004,Sensitive export must be masked by default,PRIVACY,2026-01-11T20:42:30,PASS,NONE,EVD_000143,,,Control satisfied with available evidence.,v1.0
CR_000279,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-06T22:05:58,FAIL,CRITICAL,EVD_000135,ARQ_00027,,Control violation detected; review linked evidence.,v1.0
CR_000280,CM-003,Production deployment requires successful test evidence,CHANGE_MANAGEMENT,2026-01-11T10:09:44,PASS,NONE,EVD_000306,,,Control satisfied with available evidence.,v1.0
CR_000281,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-11T03:07:36,PASS,NONE,EVD_000504,,,Control satisfied with available evidence.,v1.0
CR_000282,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-09T20:41:33,FAIL,HIGH,EVD_000516,,RUN_000038,Control violation detected; review linked evidence.,v1.0
CR_000283,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-02T18:56:19,PASS,NONE,EVD_000535,,,Control satisfied with available evidence.,v1.0
CR_000284,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-05T12:06:00,FAIL,HIGH,EVD_000363,,,Control violation detected; review linked evidence.,v1.0
CR_000285,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-11T07:26:54,PASS,NONE,EVD_000072,,RUN_000100,Control satisfied with available evidence.,v1.0
CR_000286,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-15T09:02:19,PASS,NONE,EVD_000588,,,Control satisfied with available evidence.,v1.0
CR_000287,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T22:33:26,FAIL,HIGH,EVD_000419,,RUN_000032,Control violation detected; review linked evidence.,v1.0
CR_000288,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-13T22:36:16,PASS,NONE,EVD_000238,,RUN_000049,Control satisfied with available evidence.,v1.0
CR_000289,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-15T10:21:50,PASS,NONE,EVD_000517,,RUN_000026,Control satisfied with available evidence.,v1.0
CR_000290,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-09T06:39:45,PASS,NONE,EVD_000137,,RUN_000018,Control satisfied with available evidence.,v1.0
CR_000291,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-09T15:16:19,PASS,NONE,EVD_000497,,,Control satisfied with available evidence.,v1.0
CR_000292,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-10T05:57:27,PASS,NONE,EVD_000162,ARQ_00006,,Control satisfied with available evidence.,v1.0
CR_000293,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-10T01:17:14,PASS,NONE,EVD_000076,,,Control satisfied with available evidence.,v1.0
CR_000294,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-06T19:02:35,FAIL,MEDIUM,EVD_000257,,RUN_000090,Control violation detected; review linked evidence.,v1.0
CR_000295,DQ-001,Pipeline run must complete successfully,DATA_PIPELINE,2026-01-07T21:17:19,NOT_EVALUATED,UNKNOWN,,,RUN_000116,Insufficient or missing evidence; control could not be evaluated.,v1.0
CR_000296,CM-002,"Code author, approver and deployer must be separated",CHANGE_MANAGEMENT,2026-01-13T07:22:02,PASS,NONE,EVD_000146,,,Control satisfied with available evidence.,v1.0
CR_000297,AC-001,Leaver access revoked within 24h,ACCESS_CONTROL,2026-01-04T01:57:41,PASS,NONE,EVD_000193,,,Control satisfied with available evidence.,v1.0
CR_000298,AC-003,Sensitive export requires approval,ACCESS_CONTROL,2026-01-09T10:22:51,FAIL,CRITICAL,EVD_000577,ARQ_00057,,Control violation detected; review linked evidence.,v1.0
CR_000299,CM-001,Production deployment must have RFC,CHANGE_MANAGEMENT,2026-01-08T00:23:47,FAIL,HIGH,EVD_000299,,,Control violation detected; review linked evidence.,v1.0
CR_000300,DQ-002,Quarantine rate must remain below threshold,DATA_QUALITY,2026-01-02T13:02:28,PASS,NONE,EVD_000099,,RUN_000100,Control satisfied with available evidence.,v1.0
